id,startNode,endNode,duration,type,length,name,ref
0,1763,15501,21.003403,3,291.713936,Boulevard Gouvion-Saint-Cyr,
1,13171,17911,3.319565,2,46.105068,Pont d'Ecouen,D 970
2,18062,22072,0.166169,2,2.307907,Rue Henri Barbusse,
3,26299,29632,1.981901,2,27.526400,Avenue du Plan de l'Église,
4,10733,10734,3.510246,2,48.753415,Rue de Maurecourt,
5,27201,27200,0.291314,3,4.046023,,
6,10150,4005,14.176721,2,196.898898,Boulevard Davout,
7,18291,18290,2.720488,2,37.784550,,
8,22839,8357,14.794630,2,205.480971,Avenue Paul Vaillant Couturier,
9,24605,24606,1.759852,2,24.442387,Avenue Henri Farman,
10,25711,27379,80.484510,2,1117.840420,,
11,26353,10073,11.110215,2,154.308548,Jean Jaurès,D 422
12,27456,27452,12.827389,2,178.158183,,
13,32246,20824,1.363143,2,18.932544,,
14,4899,4162,94.530238,6,1312.919975,Autoroute de Normandie,A 13
15,8498,20842,29.430261,2,408.753624,Avenue de Verdun,
16,15183,29588,2.083643,2,28.939491,Avenue de Budenheim,D 909
17,20749,19792,29.482134,2,409.474076,Avenue du Général de Gaulle,D 219
18,9894,9900,12.094636,7,167.981052,Avenue Charles de Gaulle,N 7
19,20514,18548,1.103867,2,15.331483,,
20,20548,13235,0.386047,2,5.361767,,
21,26734,26736,0.394446,2,5.478416,,
22,11536,11533,1.878070,2,26.084300,,
23,13437,13439,21.290306,2,295.698690,Rue de Dourdan,D 838
24,14470,14463,3.282621,2,45.591965,Rond-Point de l'Europe,
25,24456,10811,23.405102,0,325.070862,,N 4
26,27441,27520,44.165098,2,613.404133,,D 32E4
27,14341,14336,1.698962,2,23.596695,,
28,21940,21935,4.233042,2,58.792250,Avenue du Colonel Fabien,
29,23895,61,5.207569,2,72.327343,,D 3
30,25705,30600,4.056960,2,56.346661,,
31,30132,30143,5.671700,2,78.773616,,
32,18310,28018,26.700242,0,370.836699,,
33,18693,25116,2.381311,0,33.073769,,
34,1562,8512,3.778728,3,52.482336,Rue de Turbigo,
35,3894,7106,11.329645,7,157.356185,,N 184
36,14939,14929,0.554285,2,7.698405,,
37,22481,30653,8.918852,2,123.872940,Avenue du Maréchal Foch,
38,3824,3826,13.216267,7,183.559265,,N 184
39,14670,13048,0.699824,2,9.719772,,
40,30269,30265,0.289918,2,4.026636,,
41,13518,17974,1.325261,2,18.406403,,
42,22040,27062,3.992796,2,55.455497,Rue Raymond Poincaré,D 94
43,2408,381,75.188507,0,1044.284821,Autoroute du Soleil,A 6a
44,13528,13399,53.888842,2,748.456133,Quai de Halage,D 249
45,15834,15829,1.851991,2,25.722100,,
46,17234,17232,79.599164,2,1105.543949,Avenue Youri Gagarine,D 5
47,28493,28488,0.373929,2,5.193458,Avenue de Fouilleuse,
