num,lon,lat
0,2.214208,48.891853
1,2.214721,48.891670
2,2.212127,48.893746
3,2.212027,48.893693
4,2.212046,48.893813
5,2.211944,48.893759
6,2.378632,48.860298
7,2.163402,49.006673
8,2.153109,49.011234
9,2.205092,48.886789
10,2.155584,49.010019
11,2.097957,49.035237
12,2.371661,48.858037
13,2.083166,49.034953
14,2.081394,49.040144
15,2.085514,49.033260
16,2.034552,49.058195
17,2.086700,49.037843
18,2.098029,49.026781
19,2.035160,49.057997
20,2.097476,49.026982
21,2.077124,49.038760
22,2.082831,49.034698
23,2.086313,49.037503
24,2.085388,49.033163
25,2.077237,49.038831
26,2.087759,49.038236
27,2.110257,49.032620
28,2.286665,48.863288
29,2.286485,48.863110
30,2.286451,48.862941
31,2.287081,48.862397
32,2.277363,48.863959
33,2.283128,48.865549
34,2.283374,48.865368
35,2.286949,48.863407
36,2.285395,48.869457
37,2.285603,48.869785
38,2.285059,48.869551
39,2.285286,48.869879
40,2.285025,48.869735
41,2.220421,48.888985
42,2.280112,48.866559
43,2.278949,48.866962
44,2.273497,48.868832
45,2.276160,48.871257
46,2.277557,48.864118
47,2.275447,48.861254
48,2.276325,48.862795
49,2.230123,48.889947
50,2.276434,48.871624
51,2.276385,48.871781
52,2.274176,48.868602
53,2.272330,48.864142
54,2.272388,48.863979
55,2.272413,48.863863
56,2.165454,48.798697
57,2.273879,48.860575
58,2.271939,48.864034
59,2.271974,48.863856
60,2.368172,48.753930
61,2.508172,48.827145
62,2.510013,48.826875
63,2.504365,48.828063
64,2.272951,48.864335
65,2.493450,49.009742
66,2.250466,48.821682
67,2.250314,48.821817
68,2.249921,48.821366
69,2.250493,48.821562
70,2.249494,48.823306
71,2.249637,48.823067
72,2.249441,48.823026
73,2.249982,48.821729
74,2.241485,48.833064
75,2.243170,48.833529
76,2.245703,48.834342
77,2.281075,48.860232
78,2.276522,48.849067
79,2.284562,48.858528
80,2.280452,48.851961
81,2.282013,48.853066
82,2.288403,48.858077
83,2.288699,48.858363
84,2.278429,48.854365
85,2.268375,48.862843
86,2.285228,48.855826
87,2.272631,48.858301
88,2.277169,48.849941
89,2.272720,48.845120
90,2.268224,48.840715
91,2.269095,48.841393
92,2.274850,48.858157
93,2.280120,48.852317
